order_id,order_date,customer_id,customer_name,city,product,category,quantity,unit_price,payment_method
1001,2024-01-02,C001,Alice,New York,Laptop,Electronics,1,1200,Credit Card
1002,2024-01-02,C002,Bob,Los Angeles,Headphones,Electronics,2,150,PayPal
1003,2024-01-03,C003,Charlie,New York,Office Chair,Furniture,1,350,Credit Card
1004,2024-01-03,C001,Alice,New York,Mouse,Electronics,3,25,Debit Card
1005,2024-01-04,C004,Diana,Chicago,Desk,Furniture,1,500,Bank Transfer
1006,2024-01-04,C005,Eve,Chicago,Laptop,Electronics,1,1100,Credit Card
1007,2024-01-05,C002,Bob,Los Angeles,Monitor,Electronics,2,300,Debit Card
1008,2024-01-05,C003,Charlie,New York,Desk Lamp,Furniture,2,45,PayPal
1009,2024-01-06,C006,Frank,Miami,Tablet,Electronics,1,600,Credit Card
1010,2024-01-06,C001,Alice,New York,Keyboard,Electronics,1,80,Bank Transfer
